Wavelength [nm],TBS,599_2,599_4,599_6,599_8,599_10,599_12
190,-0.05296898,0.6051664,0.6603217,0.4997387,0.8399405,0.5524263,1.338333
191,-0.02728653,0.9267702,0.525043,1.18904,0.9474573,0.726624,0.6323786
192,-0.03379345,0.6096344,0.6786714,1.387065,0.4212613,1.376041,1.37224
193,-0.08715057,0.4771209,0.9542422,0.9542422,1.255272,1.255272,1.255272
194,-0.01663971,1.383166,1.364003,1.364243,0.5093651,1.369496,1.352315
195,0.000353336,1.328002,1.037734,0.8534155,0.8804688,1.336184,0.8884578
196,-0.002843857,0.5545201,0.6097741,0.7521701,0.5635691,0.7911739,1.514643
197,-0.02471209,0.7790227,0.6568513,1.447922,1.468093,1.506391,1.419802
198,0.04382992,0.8400273,1.262023,0.9312205,0.7594395,1.498662,1.015315
199,-0.02261686,1.044746,1.16996,1.5479,0.9895082,1.560404,1.321818
200,-0.05528021,0.6448016,0.6655307,0.8990679,0.906899,1.565556,1.522162
201,-0.01885271,0.9504814,1.132889,1.350782,1.172252,1.723293,1.469659
202,2.91E-05,1.018943,1.118034,2.059567,1.883975,2.04195,1.930977
203,-0.00788641,1.540426,1.536169,2.355479,1.530595,2.288009,1.78217
204,-0.002991199,2.301768,2.139575,2.50976,2.668771,2.260588,2.749699
205,-0.00104475,1.870595,1.919728,2.212496,2.256181,2.182337,2.741957
206,-0.002958775,1.927402,2.144441,2.63368,2.54988,2.389633,2.663584
207,-0.001939297,2.217996,2.56473,2.914172,2.911889,2.686627,2.909859
208,-0.002295971,2.141875,2.374614,2.564317,2.653237,2.394121,2.621213
209,-0.000914097,2.218062,2.382398,2.49263,2.758116,2.828114,3.12931
210,-0.001717091,2.303257,2.558537,2.700817,2.778314,3.052851,3.631181
211,-0.001413822,2.259592,2.556855,2.837613,2.819629,2.916036,3.26727
212,-0.00150919,2.266774,2.455351,2.777933,2.822663,3.013614,3.178333
213,-0.001921654,2.331743,2.517004,2.605033,2.971498,2.862629,3.088867
214,-0.001595497,2.348691,2.549878,2.785545,3.050062,3.043321,3.23642
215,-0.001862526,2.373416,2.676897,2.804008,3.122773,3.260421,3.319345
216,-0.001784801,2.379132,2.649058,2.752603,2.887252,2.904083,3.132752
217,-0.001848221,2.401299,2.671972,2.901804,3.179017,2.982353,3.339038
218,-0.001881123,2.348669,2.7313,2.928916,3.244608,3.101764,3.418415
219,-0.001814842,2.328757,2.748413,2.948879,2.88908,3.104004,3.176353
220,-0.001857281,2.275636,2.842779,3.100985,3.240954,3.171034,3.378855
221,-0.001925468,2.183856,2.84824,3.015465,3.049409,3.164256,3.355407
222,-0.001966,2.091156,2.855669,2.943425,3.10675,3.251941,3.277644
223,-0.001737595,1.998868,2.827313,3.009871,3.247019,3.260992,3.463764
224,-0.002250671,1.887795,2.800238,3.048647,3.203121,3.151665,3.244995
225,-0.002072334,1.770352,2.736093,2.906324,3.139068,3.120764,3.094175
226,-0.002082825,1.645633,2.698826,2.91258,2.983384,3.197389,3.158432
227,-0.002147675,1.514508,2.65542,2.908516,2.96573,3.06639,3.118845
228,-0.002054691,1.372837,2.595754,2.875194,2.864746,3.080187,3.222229
229,-0.002162457,1.23339,2.494264,2.817459,3.166415,3.195853,3.233518
230,-0.002131462,1.088468,2.310214,2.853504,2.938116,3.00181,3.146747
231,-0.002316475,0.9485497,2.067634,2.685991,2.899037,3.080385,3.011314
232,-0.002223492,0.8117013,1.822012,2.465855,2.862691,2.906463,2.935044
233,-0.002072811,0.6848783,1.555953,2.220071,2.672771,2.814984,2.939598
234,-0.002330303,0.5681825,1.304716,1.910553,2.512753,2.750968,2.879137
235,-0.002272606,0.4634576,1.077804,1.5951,2.160948,2.48885,2.745975
236,-0.002533436,0.3750405,0.8809881,1.315039,1.844868,2.187141,2.478706
237,-0.002233505,0.2993026,0.7130947,1.066687,1.502835,1.819107,2.105851
238,-0.002381325,0.2384677,0.5748591,0.8660593,1.22447,1.486675,1.72498
239,-0.002055645,0.1882539,0.4615798,0.697957,0.9912829,1.207545,1.40636
240,-0.002317429,0.149025,0.3733864,0.5667081,0.8055463,0.9838657,1.146266
241,-0.002179623,0.1181879,0.3025718,0.4620728,0.6592302,0.8051577,0.9386067
242,-0.002191067,0.09470081,0.2489076,0.3822403,0.5453744,0.668613,0.7811189
243,-0.002352715,0.07623482,0.2066584,0.3192868,0.4577579,0.5622959,0.6553679
244,-0.002217293,0.06208181,0.174612,0.2717371,0.3895273,0.4799657,0.5603609
245,-0.00225544,0.05247688,0.1520863,0.2384429,0.3425307,0.4228659,0.4933066
246,-0.002236366,0.04549742,0.1362042,0.2145667,0.309113,0.3822904,0.4457583
247,-0.002316475,0.04110241,0.1261554,0.1996903,0.2878852,0.3563747,0.4153304
248,-0.002312183,0.038064,0.1193361,0.1892524,0.273499,0.3392482,0.3953695
249,-0.002171516,0.03631592,0.1154084,0.1833673,0.2644563,0.328649,0.383317
250,-0.002371311,0.03607273,0.1145196,0.1826253,0.2633924,0.3273611,0.3824916
251,-0.002273083,0.03781462,0.1181579,0.1875863,0.2707114,0.3366051,0.3936286
252,-0.002247334,0.04048872,0.1239119,0.1956511,0.2826157,0.3511105,0.4105902
253,-0.002332687,0.04273367,0.1292491,0.2036738,0.2936497,0.3645782,0.4266648
254,-0.002104759,0.04481173,0.1336508,0.210115,0.3030624,0.376193,0.4401617
255,-0.002528667,0.04721498,0.1388979,0.2184768,0.3149128,0.3910875,0.4577389
256,-0.002458096,0.05106258,0.1476588,0.231389,0.3330359,0.4129124,0.4843297
257,-0.00231123,0.05677271,0.1598887,0.2492752,0.3591084,0.4446096,0.5214229
258,-0.002282143,0.06282377,0.1735244,0.2699327,0.3879466,0.4801917,0.5634294
259,-0.002382755,0.06778479,0.1844983,0.2865143,0.4121165,0.5089993,0.597322
260,-0.002193451,0.07147074,0.1924148,0.2980366,0.4288001,0.5292768,0.6220341
261,-0.002191544,0.07537174,0.2011657,0.3105183,0.4463754,0.551228,0.6477904
262,-0.002304554,0.07994461,0.2106996,0.3254895,0.4670563,0.5768571,0.6776891
263,-0.002167702,0.08545208,0.2229867,0.343668,0.4933152,0.6078439,0.7154789
264,-0.002277851,0.09253025,0.2394133,0.36759,0.5267267,0.6495047,0.7645226
265,-0.002358437,0.09862089,0.2532816,0.3881407,0.5570359,0.6871886,0.8063507
266,-0.002475739,0.1034923,0.263588,0.4038324,0.579051,0.7127566,0.8370957
267,-0.002296925,0.1085863,0.2752581,0.4208517,0.6018701,0.7413888,0.8723536
268,-0.002156258,0.1147385,0.2881002,0.4405723,0.6309037,0.7752662,0.9130549
269,-0.002494335,0.1188755,0.2984581,0.4556847,0.6511478,0.8002906,0.9421926
270,-0.002150059,0.12291,0.3072824,0.4683075,0.6704235,0.8221483,0.969696
271,-0.002862453,0.1266847,0.3164711,0.4817462,0.6879086,0.8466096,0.9969049
272,-0.00256443,0.1312022,0.3258333,0.496923,0.7107043,0.8712339,1.025454
273,-0.002614021,0.1355076,0.3353915,0.510551,0.7290449,0.8937016,1.05336
274,-0.002155304,0.1390233,0.3437209,0.5232935,0.7447057,0.9169941,1.081347
275,-0.002785206,0.1420341,0.3514934,0.5340362,0.7631245,0.93679,1.105639
276,-0.002301216,0.1448479,0.3576851,0.5419059,0.7726145,0.9521761,1.118691
277,-0.00258112,0.1464696,0.3600335,0.5461202,0.7828245,0.9606605,1.124566
278,-0.002549648,0.145936,0.3586731,0.5446944,0.7766709,0.9568529,1.11975
279,-0.002130032,0.143404,0.353313,0.536736,0.7654228,0.9422512,1.100862
280,-0.002399445,0.1397147,0.3463826,0.5248666,0.7523594,0.9227724,1.081967
281,-0.002279758,0.1371026,0.3386555,0.5162296,0.7333994,0.9070954,1.062603
282,-0.002434254,0.1335316,0.3317151,0.5061951,0.7246451,0.8886414,1.043186
283,-0.002579212,0.1296186,0.3226261,0.4918013,0.7026234,0.8666821,1.012751
284,-0.002524853,0.1230636,0.3079028,0.4696064,0.6723132,0.8280983,0.9732709
285,-0.002186775,0.1134806,0.2859373,0.4362884,0.6247878,0.7705207,0.9015088
286,-0.002882481,0.10079,0.2589841,0.3959789,0.5681081,0.6993084,0.8194847
287,-0.002218246,0.08975267,0.2320585,0.3567505,0.5116167,0.6303391,0.7402802
288,-0.00236845,0.0787096,0.2080545,0.3208637,0.4603095,0.5692587,0.6671557
289,-0.002789974,0.06821394,0.1852059,0.2873015,0.4146256,0.510303,0.5989084
290,-0.00242281,0.05802011,0.1606798,0.2518764,0.3628678,0.4477077,0.5262976
291,-0.002514839,0.04590368,0.1339917,0.2119737,0.3077211,0.3805976,0.4464679
292,-0.002714157,0.03454447,0.1086974,0.1740785,0.2544484,0.3155909,0.3709846
293,-0.00254631,0.02528095,0.08746815,0.1418209,0.2082648,0.2600236,0.3049994
294,-0.002743721,0.01714993,0.06923628,0.114562,0.170125,0.2136617,0.2513733
295,-0.002245426,0.01110363,0.05491114,0.09338045,0.139935,0.1763496,0.2081561
296,-0.002730846,0.005768299,0.04297638,0.0755949,0.1148853,0.1460228,0.1728177
297,-0.002613544,0.00174284,0.03347111,0.06175852,0.09489202,0.121737,0.1445236
298,-0.003069401,-0.001571655,0.02563095,0.04997063,0.07938766,0.1016889,0.1207113
299,-0.002383232,-0.004352093,0.01951313,0.04079533,0.06548023,0.08580828,0.1019573
300,-0.002287865,-0.006595135,0.01405191,0.03238869,0.05414295,0.07146025,0.08544302
301,-0.003081799,-0.008960247,0.009285927,0.02556705,0.04374027,0.05912495,0.07150888
302,-0.002661705,-0.01031494,0.005647182,0.02001286,0.03642702,0.04977465,0.06045437
303,-0.002646923,-0.01168633,0.002782822,0.01552486,0.02974558,0.04209614,0.05126619
304,-0.002157211,-0.01239967,0.000339508,0.01197767,0.02469778,0.03588247,0.04402304
305,-0.002114296,-0.01313496,-0.001602173,0.008777618,0.02048826,0.03072548,0.0384841
306,-0.002362728,-0.01420927,-0.003406048,0.006014347,0.01670504,0.0261817,0.03304386
307,-0.002873421,-0.01485395,-0.005250931,0.004078865,0.01434994,0.02248573,0.02910805
308,-0.002820015,-0.01506758,-0.005980492,0.002358437,0.01189995,0.01984119,0.02624083
309,-0.002340317,-0.01537848,-0.006540298,0.00125742,0.01054621,0.0180459,0.02401114
310,-0.002669811,-0.01530504,-0.007476807,5.48E-05,0.008759022,0.01631212,0.02196884
311,-0.002583027,-0.01580906,-0.00784111,-0.000536442,0.007982254,0.01488018,0.02064848
312,-0.002490044,-0.01594114,-0.008340359,-0.001079082,0.007217884,0.01400614,0.01962185
313,-0.002768517,-0.01586103,-0.008864403,-0.001750946,0.006403446,0.01328993,0.01868439
314,-0.002325535,-0.01568699,-0.008799553,-0.00177145,0.005962849,0.01253939,0.01827717
315,-0.002402306,-0.01571274,-0.008872509,-0.00217104,0.005378246,0.0118804,0.01758909
316,-0.002341747,-0.01555395,-0.009057999,-0.002444267,0.005402565,0.01164579,0.01732683
317,-0.002509117,-0.01582479,-0.009468079,-0.003016472,0.004683971,0.01121569,0.01700258
318,-0.002598763,-0.01576042,-0.009449959,-0.003160954,0.004417419,0.01097059,0.01661682
319,-0.002463341,-0.01576567,-0.009636879,-0.003282547,0.00433445,0.01054907,0.01628828
320,-0.002698421,-0.0158534,-0.009827614,-0.003423691,0.00415659,0.0102334,0.01591682
321,-0.002645016,-0.0159111,-0.009861946,-0.003298283,0.004011631,0.01033831,0.01627302
322,-0.002458572,-0.0158186,-0.009807587,-0.003395081,0.004076004,0.01029539,0.01607513
323,-0.002380371,-0.01586103,-0.01014519,-0.003740788,0.003712654,0.009638309,0.01555395
324,-0.002686501,-0.01592731,-0.01029491,-0.003998756,0.00333786,0.009340286,0.01539135
325,-0.002510071,-0.01565075,-0.01020241,-0.003775597,0.00372076,0.009854317,0.01550007
326,-0.002496243,-0.0158267,-0.01001167,-0.003828526,0.003416538,0.009679794,0.01528835
327,-0.002429485,-0.01574945,-0.01052523,-0.004230499,0.003342152,0.009353161,0.01520538
328,-0.002760887,-0.01596165,-0.01032162,-0.003906727,0.003277302,0.00921917,0.01441717
329,-0.002552032,-0.01646662,-0.0105896,-0.004144192,0.002981663,0.00874567,0.01416349
330,-0.002507687,-0.01571369,-0.01030588,-0.004106998,0.003074646,0.008961678,0.01450396
331,-0.002476692,-0.01609802,-0.01046562,-0.004396915,0.002596855,0.008865833,0.01418066
332,-0.002958298,-0.01650238,-0.01104403,-0.004565716,0.002681255,0.008490086,0.01358843
333,-0.002901077,-0.01623011,-0.01091671,-0.004673958,0.002250195,0.008620739,0.01372004
334,-0.002499104,-0.0164032,-0.01091576,-0.004465103,0.002549171,0.009104729,0.01361799
335,-0.002728939,-0.01625681,-0.01049995,-0.004293442,0.002439022,0.008939743,0.01355505
336,-0.002976894,-0.01686811,-0.01074028,-0.004959583,0.002092838,0.007895947,0.01277542
337,-0.002896786,-0.01697683,-0.01084089,-0.004696846,0.001859188,0.008185863,0.01264238
338,-0.002693653,-0.01645279,-0.01090717,-0.005077362,0.001583576,0.007670879,0.01230955
339,-0.00272274,-0.01639748,-0.01106262,-0.004910946,0.001625061,0.007695675,0.01275349
340,-0.002746582,-0.01667547,-0.0108614,-0.005040169,0.001725674,0.007849693,0.01209497
341,-0.002322197,-0.0165863,-0.0107379,-0.005059242,0.002048492,0.00793457,0.01197386
342,-0.002693176,-0.01662493,-0.01114225,-0.004837036,0.001545906,0.007693768,0.01189852
343,-0.002363205,-0.01655769,-0.01108265,-0.004709721,0.001759529,0.007223606,0.01209164
344,-0.002316952,-0.016572,-0.01122904,-0.005283356,0.001366615,0.007312298,0.01188231
345,-0.002458096,-0.01711082,-0.01123333,-0.005336285,0.001442909,0.007527351,0.01150513
346,-0.002274513,-0.01683521,-0.01140404,-0.005497456,0.001544476,0.006872654,0.01145649
347,-0.002513409,-0.01680517,-0.01126146,-0.005060673,0.000888825,0.007270813,0.01114511
348,-0.002240181,-0.01706505,-0.01147032,-0.005405426,0.000758171,0.00657177,0.01108694
349,-0.002999306,-0.01728487,-0.01205158,-0.005807877,6.63E-05,0.006527424,0.01031494
350,-0.002938747,-0.01795912,-0.01215935,-0.006004333,0.00045681,0.00645256,0.01047802
351,-0.002924919,-0.01752853,-0.01162004,-0.005990982,0.000688553,0.006298065,0.009997845
352,-0.002429008,-0.01747561,-0.01110506,-0.005574226,0.000846386,0.006512165,0.01067686
353,-0.001976967,-0.01739597,-0.01134014,-0.006196976,0.000435829,0.006153584,0.00934267
354,-0.002714634,-0.01742554,-0.01202011,-0.006272316,-0.000151634,0.006067276,0.009263992
355,-0.002343655,-0.01816559,-0.0119586,-0.006875038,-0.000332356,0.006220818,0.008522511
356,-0.003007412,-0.01883888,-0.01214314,-0.006123543,-0.000691891,0.005959034,0.00748539
357,-0.002163887,-0.01913691,-0.012393,-0.005924702,-0.000397205,0.006432056,0.006518364
358,-0.002514362,-0.01866817,-0.01238966,-0.006178856,-0.000660896,0.005746841,0.007786751
359,-0.001858234,-0.01791382,-0.01163673,-0.005679607,0.000121594,0.005765438,0.008616924
360,-0.002444267,-0.01713753,-0.01247311,-0.007120132,-0.000889301,0.004704475,0.009261608
361,-0.002545357,-0.01627302,-0.0127964,-0.007539272,-0.001121521,0.004142284,0.01044512
362,-0.002867699,-0.01752234,-0.01284933,-0.00723362,-0.001189232,0.004072189,0.008230686
363,-0.002761841,-0.0182085,-0.0129199,-0.00645256,-0.001284122,0.005099773,0.007678986
364,-0.002253056,-0.01886368,-0.01248693,-0.006099701,-0.001550674,0.005391121,0.00629425
365,-0.002776146,-0.01925421,-0.01243401,-0.006002426,-0.001612186,0.005456924,0.005487442
366,-0.002378464,-0.01903677,-0.01153135,-0.005253792,-0.001095295,0.005685329,0.006322861
367,-0.001932144,-0.01744986,-0.0109601,-0.004658222,-0.000245571,0.006540298,0.007803917
368,-0.002391815,-0.01717949,-0.0111537,-0.004942894,4.82E-05,0.006081104,0.00812006
369,-0.001991272,-0.01732635,-0.01149178,-0.004862785,-0.000607967,0.006114483,0.007740498
370,-0.002140999,-0.01741314,-0.01204824,-0.006258488,-0.001172543,0.005114555,0.007029057
371,-0.002600193,-0.01823473,-0.01274872,-0.006518364,-0.001849174,0.004311085,0.006267071
372,-0.002746582,-0.01881313,-0.01291704,-0.006734848,-0.002008915,0.004422188,0.00624752
373,-0.002622128,-0.01851511,-0.01319504,-0.007013798,-0.002154827,0.004205227,0.006009102
374,-0.00222683,-0.01891136,-0.01301575,-0.006590843,-0.002093315,0.003863811,0.005889893
375,-0.00237608,-0.01815557,-0.01154375,-0.005468845,-0.000563622,0.00585413,0.007344723
376,-0.001649857,-0.01691437,-0.01102877,-0.004772663,-0.000440121,0.006291866,0.007763863
377,-0.002733231,-0.01782656,-0.01180744,-0.006019115,-0.00113678,0.005125046,0.006570339
378,-0.002027035,-0.01753664,-0.01071405,-0.004520893,-9.87E-05,0.006669998,0.007881165
379,-0.00142765,-0.01582241,-0.009119034,-0.002547264,0.001939297,0.008340836,0.009665966
380,-0.001759529,-0.01540089,-0.009491444,-0.00382328,0.001561642,0.008034706,0.009839535
381,-0.001939774,-0.01599932,-0.01026154,-0.00476265,0.000643253,0.006933212,0.008579731
382,-0.002429008,-0.01698542,-0.01090097,-0.004741192,-0.000450611,0.00534296,0.008274555
383,-0.002547741,-0.01635408,-0.00973177,-0.004447937,0.000228882,0.006516457,0.009037971
384,-0.002662182,-0.01656628,-0.01104641,-0.005136013,-0.000261307,0.005521774,0.008609772
385,-0.00260973,-0.01685286,-0.01104689,-0.004744053,-0.000342846,0.006131649,0.008270741
386,-0.002775669,-0.01664591,-0.01165199,-0.005446911,-0.001000881,0.005073071,0.007757664
387,-0.002413273,-0.01662016,-0.01048326,-0.004951477,-0.000113487,0.005815506,0.008161545
388,-0.001908779,-0.01507759,-0.00809145,-0.001865387,0.002757549,0.009137154,0.01105213
389,-0.002009869,-0.0139575,-0.008146286,-0.002592087,0.002754688,0.008432388,0.01220512
390,-0.002952099,-0.0159936,-0.01124334,-0.005781174,-0.000609398,0.004813671,0.009082317
391,-0.002624989,-0.01714849,-0.0119133,-0.006321907,-0.001926899,0.0043993,0.00681448
392,-0.00222683,-0.01559687,-0.009196758,-0.002841949,0.00109911,0.007490158,0.00908041
393,-0.001657009,-0.0124917,-0.005613327,0.000535011,0.005176544,0.01147223,0.01374197
394,-0.001746655,-0.01268721,-0.007085323,-0.001534462,0.003571033,0.009059429,0.01356936
395,-0.002042294,-0.01408434,-0.009409904,-0.003781319,0.001619339,0.006999969,0.01124096
396,-0.001959324,-0.01482105,-0.009753704,-0.004696846,0.000275612,0.005997181,0.009692192
397,-0.002367973,-0.01573181,-0.009778023,-0.004054546,0.000519753,0.006215096,0.00886488
398,-0.001883984,-0.01417065,-0.007099628,-0.000652313,0.003615379,0.01049042,0.01165009
399,-0.001603603,-0.01093388,-0.004779816,0.000789166,0.005820274,0.01153374,0.01528406
400,-0.001823425,-0.01272535,-0.008143425,-0.003404617,0.002127171,0.006995678,0.01279163
401,-0.002252102,-0.01520061,-0.0100832,-0.004974842,-0.000475407,0.005053997,0.009434223
402,-0.002405167,-0.01623821,-0.01151133,-0.006176472,-0.001324177,0.003984928,0.007841587
403,-0.00219202,-0.01601315,-0.01070929,-0.006031513,-0.001510143,0.004160404,0.007873058
404,-0.002421379,-0.01601839,-0.01017332,-0.004542828,6.15E-05,0.005517006,0.008212566
405,-0.001523972,-0.01360655,-0.007709503,-0.000979424,0.003041744,0.009079456,0.01112986
406,-0.001792908,-0.011765,-0.006055832,-0.00035429,0.004531384,0.01003695,0.01378584
407,-0.002286434,-0.01355362,-0.009143353,-0.004667282,0.000431538,0.0050807,0.01085806
408,-0.001704693,-0.01580238,-0.01081944,-0.00542593,-0.001281738,0.004541874,0.007784843
409,-0.002140999,-0.01570129,-0.009954929,-0.004449368,-3.81E-05,0.005869389,0.008487701
410,-0.00241375,-0.01509333,-0.0098629,-0.004736423,3.43E-05,0.004953384,0.00909853
411,-0.002193451,-0.01500082,-0.01086998,-0.005560875,-0.00104332,0.004045963,0.008011341
412,-0.001905918,-0.01515436,-0.00915575,-0.003956318,0.000510693,0.00621891,0.008556366
413,-0.001883507,-0.01357174,-0.006724358,-0.001111984,0.003186703,0.009773731,0.01143694
414,-0.001792908,-0.01230764,-0.006917477,-0.002166748,0.002376556,0.008449554,0.01304054
415,-0.002583027,-0.01427889,-0.009337425,-0.003892899,0.000517845,0.005114555,0.009722233
416,-0.002427578,-0.01539469,-0.01001596,-0.004781246,-0.00080061,0.004208088,0.007831573
417,-0.002613068,-0.01482201,-0.01068401,-0.004889965,-7.15E-06,0.004603386,0.008421421
418,-0.002367973,-0.01503611,-0.009906769,-0.004909992,-0.000551701,0.004559994,0.008690357
419,-0.002580166,-0.01556921,-0.01090479,-0.005302429,-0.001021385,0.003652573,0.007234573
420,-0.002491951,-0.01553249,-0.009766102,-0.00413084,0.000146866,0.00586462,0.008384705
421,-0.002106667,-0.0133214,-0.005908012,0.00016737,0.003890038,0.0103116,0.01125097
422,-0.001259327,-0.01037645,-0.002365589,0.003931522,0.007879734,0.01446342,0.01604557
423,-0.001171589,-0.009465694,-0.002904892,0.00294733,0.00756979,0.01302338,0.01718378
424,-0.001779079,-0.01105642,-0.005383492,-0.000225544,0.004781246,0.01025009,0.01473522
425,-0.001405239,-0.01204348,-0.006937981,-0.001868725,0.002599239,0.008037567,0.01218843
426,-0.001810551,-0.01398182,-0.009485245,-0.004567146,-0.000211716,0.004552364,0.008700371
427,-0.002545834,-0.01454878,-0.008986473,-0.003314018,0.000337601,0.006655693,0.008330345
